GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
lab3-springboot,com.example.lab3.exception,GlobalExceptionHandler,0,9,0,0,0,2,0,2,0,2
lab3-springboot,com.example.lab3.exception,ResourceNotFoundException,0,4,0,0,0,2,0,1,0,1
lab3-springboot,com.example.lab3.controller,ProductController,8,48,0,2,2,11,1,6,1,5
lab3-springboot,com.example.lab3.controller,OrderController,8,48,0,2,2,11,1,6,1,5
lab3-springboot,com.example.lab3.controller,UserController,16,48,0,2,5,11,1,6,1,5
lab3-springboot,com.example.lab3.controller,CategoryController,50,3,2,0,11,1,6,1,5,1
lab3-springboot,com.example.lab3.controller,OrderItemController,35,3,0,0,6,1,5,1,5,1
lab3-springboot,com.example.lab3.service,UserService,0,123,0,4,0,28,0,10,0,8
lab3-springboot,com.example.lab3.service,ProductService,0,153,0,8,0,33,0,12,0,8
lab3-springboot,com.example.lab3.service,OrderItemService,40,179,2,4,6,33,4,12,2,11
lab3-springboot,com.example.lab3.service,OrderServiceImpl,0,65,0,6,0,13,0,5,0,2
lab3-springboot,com.example.lab3.service,OrderService,8,160,3,11,1,35,4,13,1,9
lab3-springboot,com.example.lab3.service,CategoryService,0,148,2,8,0,30,2,11,0,8
lab3-springboot,com.example.lab3,Lab3SpringbootApplication,5,3,0,0,2,1,1,1,1,1
lab3-springboot,com.example.lab3.entity,OrderItem,0,38,0,0,0,11,0,11,0,11
lab3-springboot,com.example.lab3.entity,OrderStatus,0,21,0,0,0,4,0,1,0,1
lab3-springboot,com.example.lab3.entity,Category,7,29,0,0,2,8,2,7,2,7
lab3-springboot,com.example.lab3.entity,User,10,33,0,0,3,9,3,8,3,8
lab3-springboot,com.example.lab3.entity,Order,0,36,0,0,0,10,0,9,0,9
lab3-springboot,com.example.lab3.entity,Product,0,45,0,0,0,13,0,13,0,13
lab3-springboot,com.example.lab3.entity.base,Auditable,0,17,0,0,0,7,0,5,0,5
lab3-springboot,com.example.lab3.config,WebConfig,0,8,0,0,0,2,0,2,0,2
lab3-springboot,com.example.lab3.config,JpaAuditingConfig,0,3,0,0,0,1,0,1,0,1
lab3-springboot,com.example.lab3.config,WebConfig.new WebMvcConfigurer() {...},0,41,0,0,0,5,0,2,0,2
lab3-springboot,com.example.lab3.config,DataSourceProperties,24,0,0,0,7,0,7,0,7,0
lab3-springboot,com.example.lab3.config,SwaggerConfig,0,15,0,0,0,2,0,2,0,2
lab3-springboot,com.example.lab3.dto,UserDTO,0,24,0,0,0,7,0,7,0,7
lab3-springboot,com.example.lab3.dto,ProductDTO,0,38,0,0,0,11,0,11,0,11
lab3-springboot,com.example.lab3.dto,OrderDTO,0,36,0,0,0,10,0,9,0,9
lab3-springboot,com.example.lab3.dto,OrderItemDTO,0,38,0,0,0,11,0,11,0,11
lab3-springboot,com.example.lab3.dto,CategoryDTO,0,24,0,0,0,7,0,7,0,7
